0.5	1	1.5	2	
0.999999	0.99999	0.9999	
100000	
0.5,	0.5,	0.5,	1,	1,	1,	1.5,	1.5,	1.5,	2,	2,	2,	
0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
+1000,	+1000,	+1000,	23.08,	143.77,	301.297,	931.806,	49.563,	904.671,	+1000,	363.259,	+1000,	
369.561,	+1000,	+1000,	49.791,	649.88,	+1000,	+1000,	213.672,	807.435,	+1000,	287.507,	310.685,	
572.63,	21.479,	+1000,	468.456,	158.496,	102.997,	423.047,	148.899,	704.029,	+1000,	687.218,	7.849,	
+1000,	+1000,	+1000,	145.653,	63.81,	805.257,	579.832,	173.125,	+1000,	+1000,	396.821,	605.868,	
12.656,	+1000,	+1000,	98.183,	52.01,	303.519,	916.567,	133.131,	+1000,	+1000,	140.354,	410.133,	
293.858,	+1000,	+1000,	141.884,	251.639,	200.638,	154.09,	285.544,	+1000,	+1000,	+1000,	411.023,	
+1000,	+1000,	+1000,	11.343,	501.455,	205.553,	+1000,	34.663,	+1000,	+1000,	60.036,	301.99,	
322.833,	327.872,	+1000,	158.325,	216.409,	+1000,	446.189,	7.381,	+1000,	+1000,	147.14,	+1000,	
+1000,	802.926,	+1000,	72.826,	742.92,	104.972,	645.047,	154.097,	+1000,	+1000,	272.65,	206.584,	
+1000,	+1000,	+1000,	150.788,	54.85,	401.041,	+1000,	341.087,	+1000,	428.861,	90.515,	312.922,	

597.628,	+1000,	+1000,	212.16,	355.293,	+1000,	+1000,	433.19,	+1000,	+1000,	91.798,	+1000,	
+1000,	+1000,	+1000,	204.899,	136.037,	+1000,	+1000,	168.79,	+1000,	+1000,	396.144,	217.199,	
+1000,	837.073,	+1000,	509.882,	228.88,	307.651,	174.588,	63.58,	+1000,	+1000,	268.673,	805.657,	
+1000,	+1000,	+1000,	62.761,	216.944,	+1000,	173.82,	173.792,	703.155,	+1000,	278.691,	+1000,	
256.707,	539.422,	+1000,	209.254,	3.035,	+1000,	313.511,	331.635,	+1000,	+1000,	331.291,	610.849,	
732.504,	+1000,	+1000,	185.346,	183.813,	9.288,	677.411,	552.147,	+1000,	+1000,	292.07,	212.648,	
4.883,	+1000,	+1000,	53.785,	119.594,	901.225,	+1000,	556.46,	708.287,	+1000,	171.162,	506.12,	
190.973,	+1000,	+1000,	143.279,	187.214,	610.515,	201.063,	76.802,	+1000,	+1000,	93.677,	+1000,	
16.431,	911.116,	+1000,	98.481,	393.089,	+1000,	+1000,	553.875,	208.9,	+1000,	285.332,	409.306,	
406.094,	+1000,	+1000,	62.745,	310.407,	+1000,	338.548,	13.968,	3.793,	+1000,	342.591,	514.661,	

62.537,	+1000,	+1000,	12.299,	113.182,	503.414,	363.28,	242.111,	+1000,	+1000,	370.332,	+1000,	
+1000,	+1000,	+1000,	103.773,	124.048,	902.859,	987.902,	170.312,	+1000,	+1000,	90.28,	+1000,	
450.446,	+1000,	+1000,	90.58,	102.056,	+1000,	820.762,	111.087,	700.127,	+1000,	478.009,	407.139,	
+1000,	+1000,	+1000,	10.699,	50.388,	+1000,	828.84,	147.291,	+1000,	893.848,	44.256,	513.552,	
+1000,	+1000,	+1000,	69.859,	71.794,	+1000,	+1000,	54.504,	200.244,	112.73,	223.419,	308.735,	
+1000,	+1000,	+1000,	393.492,	50.983,	303.548,	119.123,	65.196,	+1000,	+1000,	146.995,	519.912,	
526.73,	+1000,	+1000,	67,	49.058,	702.105,	279.981,	334.822,	902.478,	+1000,	289.834,	+1000,	
+1000,	966.329,	+1000,	15.122,	544.183,	+1000,	48.788,	3.722,	705.393,	+1000,	80.511,	+1000,	
975.683,	+1000,	+1000,	90.559,	425.213,	+1000,	392.198,	250.608,	406.766,	+1000,	591.68,	312.155,	
+1000,	+1000,	+1000,	39.995,	72.68,	+1000,	13.198,	166.516,	+1000,	881.294,	17.373,	+1000,	
