0.5	1	1.5	2	
0.999999	0.99999	0.9999	
100000	
0.5,	0.5,	0.5,	1,	1,	1,	1.5,	1.5,	1.5,	2,	2,	2,	
0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
108.379,	+1000,	+1000,	81.123,	62.088,	+1000,	286.521,	37.468,	10.7,	+1000,	99.959,	+1000,	
592.271,	+1000,	+1000,	5.333,	15.662,	500.318,	692.93,	67.606,	+1000,	+1000,	174.47,	209.099,	
+1000,	+1000,	+1000,	19.164,	109.282,	+1000,	16.118,	172.655,	103.878,	+1000,	54.846,	812.663,	
196.827,	7.868,	801.763,	158.17,	11.734,	+1000,	225.66,	93.343,	813.679,	+1000,	47.279,	+1000,	
370.936,	+1000,	+1000,	209.335,	139.465,	201.205,	360.834,	27.744,	13.129,	+1000,	72.017,	+1000,	
+1000,	302.366,	+1000,	119.377,	26.327,	+1000,	119.097,	96.188,	704.898,	86.755,	163.154,	+1000,	
147.267,	+1000,	+1000,	5.888,	218.067,	+1000,	572.891,	93.335,	8.472,	643.92,	60.988,	+1000,	
+1000,	346.578,	+1000,	99.066,	55.577,	502.103,	694.277,	120.208,	+1000,	+1000,	20.246,	905.744,	
36.852,	+1000,	+1000,	65.156,	23.112,	+1000,	177.31,	16.784,	504.818,	+1000,	67.792,	513.278,	
+1000,	602.86,	+1000,	59.673,	49.629,	900.089,	483.647,	340.813,	307.889,	788.154,	86.472,	+1000,	

503.772,	+1000,	+1000,	63.376,	21.726,	805.308,	444.918,	150.728,	911.51,	+1000,	369.928,	+1000,	
130.475,	+1000,	+1000,	68.033,	346.119,	405.457,	42.204,	280.652,	206.894,	+1000,	93.91,	210.204,	
132.069,	618.584,	+1000,	66.305,	38.189,	405.453,	192.183,	20.826,	103.333,	+1000,	72.745,	711.556,	
17.397,	9.771,	+1000,	107.016,	21.911,	403.25,	590.986,	144.186,	+1000,	+1000,	125.708,	309.474,	
26.735,	717.707,	+1000,	192.217,	69.507,	+1000,	190.718,	34.512,	+1000,	279.474,	139.92,	+1000,	
3.348,	+1000,	+1000,	218.384,	114.214,	+1000,	166.767,	67.078,	408.377,	277.089,	393.522,	208.213,	
530.549,	123.446,	+1000,	29.521,	204.862,	+1000,	900.696,	58.734,	+1000,	+1000,	61.374,	304.844,	
253.717,	+1000,	+1000,	212.576,	101.619,	211.889,	20.288,	25.09,	5.852,	+1000,	136.906,	305.888,	
89.829,	109.632,	+1000,	23.936,	28.665,	11.757,	189.903,	259.908,	104.145,	+1000,	198.611,	506.509,	
190.545,	+1000,	+1000,	184.74,	16.566,	+1000,	690.352,	157.114,	106.02,	+1000,	86.551,	808.522,	

+1000,	936.092,	+1000,	177.467,	29.874,	+1000,	58.525,	94.091,	+1000,	+1000,	149.314,	806.431,	
23.12,	+1000,	+1000,	71.218,	229.273,	900.033,	168.21,	46.677,	206.362,	+1000,	131.859,	+1000,	
324.679,	126.058,	+1000,	12.005,	106.524,	103.66,	261.48,	442.221,	+1000,	+1000,	187.181,	214.968,	
651.141,	234.331,	+1000,	111.048,	101.832,	502.163,	249.953,	152.712,	303.649,	+1000,	58.276,	416.024,	
112.558,	456.949,	+1000,	11.159,	208.768,	203.809,	861.297,	41.462,	+1000,	+1000,	83.382,	714.727,	
144.53,	+1000,	+1000,	176.253,	310.824,	+1000,	74.026,	179.911,	3.791,	379.418,	157.686,	+1000,	
+1000,	170.88,	+1000,	52.925,	105.603,	+1000,	+1000,	61.354,	9.077,	+1000,	67.7,	+1000,	
282.601,	+1000,	+1000,	58.466,	31.101,	+1000,	518.974,	39.991,	609.259,	338.372,	75.882,	807.792,	
936.702,	+1000,	+1000,	48.8,	310.208,	+1000,	107.248,	76.503,	411.906,	+1000,	90.902,	409.802,	
+1000,	610.47,	+1000,	2.9,	32.605,	3.221,	812.928,	85.495,	606.176,	981.575,	56.151,	+1000,	
