0.5	1	1.5	2	
0.999999	0.99999	0.9999	
100000	
0.5,	0.5,	0.5,	1,	1,	1,	1.5,	1.5,	1.5,	2,	2,	2,	
0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
257.697,	610.226,	+1000,	37.11,	18.092,	202.086,	173.784,	43.961,	108.741,	+1000,	62.481,	10.181,	
197.854,	524.953,	+1000,	86.148,	109.741,	307.823,	387.522,	38.816,	306.226,	991.618,	66.13,	13.809,	
23.799,	+1000,	+1000,	24.947,	21.452,	504.777,	165.838,	27.545,	706.673,	+1000,	53.004,	107.092,	
340.005,	419.674,	+1000,	3.382,	7.379,	904.004,	261.842,	10.507,	602.748,	+1000,	64.131,	14.555,	
87.753,	29.706,	+1000,	89.161,	29.74,	104.982,	93.976,	36.274,	5.632,	598.491,	37.916,	15.496,	
772.614,	+1000,	+1000,	28.887,	162.18,	301.703,	42.663,	28.923,	3.175,	+1000,	167.075,	5.235,	
35.669,	416.075,	1.71,	35.315,	68.507,	+1000,	80.55,	29.495,	209.998,	+1000,	91.382,	310.96,	
102.868,	309.96,	+1000,	26.284,	23.078,	101.423,	231.474,	16.668,	510.663,	+1000,	80.835,	9.337,	
289.363,	+1000,	+1000,	3.168,	12.706,	403.176,	63.872,	27.252,	203.928,	+1000,	59.282,	205.288,	
10.851,	+1000,	+1000,	12.902,	1.803,	13.131,	185.401,	16.224,	309.384,	923.694,	62.761,	8.324,	
417.844,	1.544,	+1000,	50.008,	3.657,	602.067,	88.741,	49.879,	209.807,	282.288,	64.053,	316.041,	
26.433,	+1000,	+1000,	57.386,	24.013,	200.746,	82.089,	25.909,	912.705,	978.601,	94.955,	+1000,	
89.805,	306.046,	+1000,	46.689,	27.775,	205.79,	343.273,	132.867,	706.28,	+1000,	71.277,	214.81,	
71.329,	925.948,	+1000,	25.714,	27.864,	305.272,	+1000,	40.506,	107.45,	+1000,	91.746,	107.807,	
95.251,	603.049,	+1000,	48.074,	2.387,	200.64,	34.717,	61.661,	6.233,	473.477,	67.401,	117.487,	
10.139,	12.185,	+1000,	9.272,	139.063,	200.487,	169.697,	127.199,	510.086,	+1000,	237.651,	307.365,	
321.849,	19.31,	+1000,	21.741,	101.014,	4.54,	1.681,	12.939,	5.566,	+1000,	95.251,	208.546,	
937.774,	743.236,	+1000,	12.833,	26.166,	701.579,	111.682,	31.357,	103.219,	849.745,	60.503,	308.785,	
19.501,	107.487,	+1000,	11.466,	13.45,	206.705,	164.234,	20.645,	205.371,	+1000,	94.101,	308.076,	
130.205,	+1000,	903.842,	46.273,	5.162,	108.808,	88.102,	40.933,	2.324,	+1000,	62.307,	302.529,	
149.768,	212.246,	+1000,	49.046,	46.22,	707.93,	135.302,	56.694,	203.365,	+1000,	62.338,	712.763,	
868.472,	247.644,	606.536,	42.565,	15.684,	100.872,	125.922,	15.6,	605.92,	+1000,	74.255,	108.107,	
5.717,	+1000,	+1000,	9.398,	59.951,	100.896,	57.495,	39.839,	602.75,	+1000,	47.223,	510.33,	
49.4,	122.369,	+1000,	15.299,	25.615,	401.714,	159.063,	18.93,	308.829,	797.377,	87.157,	408.513,	
692.312,	113.504,	+1000,	100.164,	139.095,	100.251,	287.328,	49.943,	112.612,	+1000,	64.587,	211.539,	
52.39,	+1000,	+1000,	27.404,	26.683,	101.505,	303.574,	3.316,	103.507,	+1000,	57.231,	205.771,	
151.255,	109.967,	600.642,	15.369,	151.057,	510.271,	343.389,	24.223,	13.204,	+1000,	87.252,	6.488,	
4.567,	10.421,	+1000,	12.437,	4.288,	200.373,	110.946,	36.476,	303.538,	+1000,	55.044,	506.915,	
544.797,	212.783,	+1000,	2.323,	7.169,	5.828,	44.182,	80.761,	4.795,	+1000,	81.088,	810.555,	
261.134,	330.965,	+1000,	43.008,	3.341,	3.417,	52.183,	32.522,	208.931,	+1000,	63.13,	805.889,	
