0.5	1	1.5	2	
0.999999	0.99999	0.9999	
100000	
0.5,	0.5,	0.5,	1,	1,	1,	1.5,	1.5,	1.5,	2,	2,	2,	
0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
+1000,	+1000,	+1000,	89.858,	123.283,	501.837,	5.42,	55.042,	206.432,	149.897,	33.863,	711.15,	
401.212,	+1000,	+1000,	14.922,	303.259,	803.314,	172.825,	18.64,	105.716,	168.269,	28.948,	509.87,	
+1000,	608.934,	+1000,	108.693,	218.009,	206.164,	46.235,	33.673,	+1000,	702.148,	73.419,	+1000,	
721.739,	408.004,	+1000,	4.804,	17.496,	+1000,	159.413,	71.474,	+1000,	652.231,	122.66,	103.099,	
236.313,	7.508,	+1000,	67.969,	108.754,	+1000,	328.196,	146.403,	301.773,	189.144,	56.396,	309.29,	
393.194,	428.635,	+1000,	131.187,	133.539,	500.672,	171.097,	134.534,	703.245,	225.712,	266.152,	907.441,	
+1000,	+1000,	+1000,	85.711,	223.07,	+1000,	20.554,	45.761,	308.372,	+1000,	3.812,	905.74,	
+1000,	214.801,	+1000,	52.644,	134.874,	801.323,	477.253,	112.264,	602.369,	372.153,	77.954,	504.297,	
367.656,	+1000,	+1000,	36.786,	34.73,	+1000,	360.669,	97.945,	401.18,	+1000,	113.293,	+1000,	
404.542,	+1000,	+1000,	33.42,	154.625,	501.553,	26.528,	165.648,	+1000,	+1000,	49.517,	308.597,	
653.24,	308.162,	303.759,	74.079,	126.509,	+1000,	208.173,	68.165,	5.605,	189.888,	85.359,	408.767,	
6.991,	+1000,	+1000,	61.188,	232.471,	+1000,	195.718,	269.726,	14.55,	339.363,	345.707,	708.365,	
38.853,	505.411,	+1000,	15.256,	428.053,	+1000,	198.632,	134.646,	8.455,	+1000,	23.218,	804.277,	
635.089,	+1000,	+1000,	163.75,	1.946,	509.668,	47.569,	14.043,	105.717,	802.547,	68.744,	416.158,	
+1000,	324.722,	+1000,	54.728,	131.822,	806.755,	81.191,	243.385,	+1000,	559.474,	251.727,	+1000,	
38.545,	429.517,	706.433,	30.866,	31.803,	+1000,	15.551,	106.484,	201.21,	811.366,	367.766,	+1000,	
257.923,	+1000,	+1000,	42.774,	118.922,	+1000,	8.899,	145.34,	+1000,	799.36,	123.076,	+1000,	
+1000,	+1000,	+1000,	11.893,	501.546,	3.959,	127.242,	25.646,	202.288,	+1000,	26.585,	206.438,	
265.976,	+1000,	+1000,	37.12,	12.753,	+1000,	330.08,	40.677,	+1000,	32.913,	379.739,	807.221,	
+1000,	243.236,	+1000,	48.789,	52.016,	303.67,	332.224,	99.624,	101.476,	964.496,	72.38,	405.307,	
+1000,	+1000,	+1000,	74.616,	153.487,	+1000,	52.611,	224.749,	105.728,	323.912,	66.289,	403.312,	
206.993,	+1000,	+1000,	40.523,	53.9,	+1000,	238.643,	27.465,	406.018,	193.34,	70.594,	505.282,	
487.895,	+1000,	+1000,	35.239,	233.88,	+1000,	358.289,	154.017,	205.799,	476.355,	62.772,	+1000,	
27.983,	209.144,	+1000,	81.594,	32.244,	+1000,	101.341,	150.579,	107.051,	187.416,	25.764,	305.584,	
85.903,	743.752,	+1000,	73.008,	220.296,	4.507,	128.928,	293.281,	7.846,	582.414,	51.525,	+1000,	
113.549,	+1000,	+1000,	77.408,	205.573,	+1000,	313.597,	123.15,	+1000,	671.508,	291.494,	600.413,	
230.285,	610.952,	+1000,	75.123,	16.087,	304.28,	44.166,	14.23,	209.244,	+1000,	50.904,	+1000,	
+1000,	+1000,	+1000,	58.452,	2.234,	502.806,	306.452,	14.921,	+1000,	158.661,	266.19,	805.193,	
+1000,	12.31,	+1000,	52.889,	135.936,	500.697,	53.501,	59.281,	303.68,	+1000,	143.358,	109.782,	
935.012,	+1000,	+1000,	75.135,	107.024,	604.835,	199.533,	34.613,	+1000,	+1000,	29.102,	4.869,	
