0.5	1	1.5	2	
0.999999	0.99999	0.9999	
100000	
0.5,	0.5,	0.5,	1,	1,	1,	1.5,	1.5,	1.5,	2,	2,	2,	
0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
622.113,	428.243,	+1000,	127.897,	20.485,	+1000,	73.604,	17.513,	6.025,	13.306,	18.587,	107.841,	
29.465,	+1000,	+1000,	4.152,	4.061,	5.373,	26.873,	3.537,	904.603,	985.149,	66.137,	9.154,	
64.1,	+1000,	+1000,	16.231,	82.788,	510.923,	32.516,	26.985,	8.697,	11.46,	38.947,	614.052,	
845.304,	+1000,	407.538,	21.688,	24.106,	101.408,	10.614,	31.915,	207.15,	84.547,	29.111,	103.293,	
2.873,	+1000,	700.177,	8.711,	11.782,	406.99,	19.524,	116.613,	4.345,	10.906,	36.551,	306.37,	
+1000,	+1000,	+1000,	7.458,	72.548,	802.293,	0.796,	9.273,	107.994,	28.785,	2.922,	9.571,	
44.287,	374.904,	+1000,	79.613,	1.408,	204.128,	5.155,	24.153,	402.011,	19.467,	19.285,	511.306,	
639.407,	+1000,	+1000,	0.762,	51.434,	+1000,	11.613,	137.08,	100.836,	34.726,	59.969,	6.56,	
+1000,	410.119,	+1000,	20.87,	5.47,	803.433,	78.326,	29.703,	3.28,	251.161,	60.854,	306.672,	
2.088,	+1000,	+1000,	37.864,	108.693,	200.854,	27.432,	6.703,	600.944,	34.446,	60.074,	508.211,	
128.33,	+1000,	+1000,	70.338,	6.021,	402.575,	73.216,	19.176,	103.536,	16.568,	65.864,	107.403,	
26.118,	+1000,	+1000,	13.747,	7.447,	601.104,	40.975,	1.504,	801.755,	48.596,	25.961,	12.46,	
81.508,	3.591,	+1000,	44.39,	22.379,	703.307,	4.024,	57.353,	304.458,	97.375,	67.513,	309.28,	
450.307,	+1000,	903.559,	19.477,	6.273,	+1000,	20.051,	1.806,	506.767,	649.747,	134.777,	208.5,	
+1000,	+1000,	+1000,	3.983,	7.963,	200.047,	135.152,	31.129,	305.298,	126.283,	58.068,	607.663,	
705.255,	+1000,	+1000,	2.899,	33.679,	+1000,	40.488,	27.154,	504.79,	71.558,	16.874,	4.7,	
242.816,	0.843,	+1000,	3.832,	43.393,	+1000,	22.586,	44.722,	3.928,	169.699,	49.865,	110.014,	
123.03,	+1000,	+1000,	12.521,	41.521,	509.532,	115.766,	17.995,	607.518,	206.556,	77.091,	106.163,	
92.114,	13.555,	+1000,	10.3,	4.729,	+1000,	12.257,	25.469,	408.523,	259.282,	47.807,	10.933,	
118.231,	+1000,	+1000,	20.917,	17.581,	802.568,	59.539,	62.643,	103.008,	58.994,	36.256,	403.434,	
215.507,	624.148,	+1000,	46.652,	15.983,	2.255,	35.857,	14.842,	702.753,	147.265,	153.677,	+1000,	
58.593,	+1000,	+1000,	77.496,	11.643,	400.403,	35.666,	20.009,	0.917,	199.81,	34.131,	409.63,	
146.913,	+1000,	+1000,	3.278,	36.448,	3.8,	35.718,	3.897,	5.202,	18.778,	28.56,	102.687,	
60.489,	214.079,	+1000,	24.934,	10.079,	505.979,	118.164,	6.854,	909.846,	24.369,	24.062,	308.68,	
+1000,	+1000,	803.831,	8.415,	6.978,	402.741,	83.146,	62.347,	106.805,	483.518,	21.061,	510.232,	
149.062,	+1000,	501.715,	22.037,	121.863,	2.035,	25.499,	43.632,	101.455,	95.717,	24.831,	107.318,	
395.322,	+1000,	+1000,	17.857,	19.71,	203.98,	6.801,	25.742,	100.923,	9.41,	12.441,	301.075,	
70.148,	+1000,	104.818,	10.727,	2.945,	903.216,	53.083,	12.789,	6.951,	134.084,	30.214,	914.782,	
56.18,	+1000,	+1000,	20.188,	52.606,	201.681,	19.886,	23.325,	2.7,	68.039,	70.827,	412.484,	
160.07,	11.318,	+1000,	9.013,	11.538,	+1000,	81.809,	25.42,	607.524,	664.963,	34.347,	504.08,	
