0.7	0.8	0.9	1	1.1	1.2	
0.999995	0.999999	0.9999995	1	
100000	
0.7,	0.7,	0.7,	0.7,	0.8,	0.8,	0.8,	0.8,	0.9,	0.9,	0.9,	0.9,	1,	1,	1,	1,	1.1,	1.1,	1.1,	1.1,	1.2,	1.2,	1.2,	1.2,	
0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
6,	2,	5,	8,	6,	6,	7,	7,	4,	2,	6,	6,	5,	4,	9,	16.73,	78.851,	10,	10,	11,	8,	18,	16,	14,	
8,	4,	7,	7,	7,	11,	6,	6,	4,	6,	6,	7,	6,	8,	7,	9,	7,	13,	10,	12,	8,	6,	12,	12,	
12,	6,	4,	4,	3,	2,	6,	9,	6,	8,	7,	6,	2,	10,	7,	10,	4,	8,	11,	12,	8,	9,	16,	14,	
9,	2,	6,	4,	8,	6,	6,	4,	6,	7,	9,	9,	5,	3,	4,	12,	8,	11,	9,	8,	6,	7,	16,	17,	
4,	8,	8,	8,	2,	6,	5,	5,	8,	7,	4,	8,	7,	4,	7,	6,	6,	11,	4,	16,	2,	8,	13,	15,	
6,	6,	96.308,	8,	7,	6,	88.19,	6,	7,	4,	4,	8,	6,	10,	7,	6,	7,	10,	10,	16,	8,	11,	16,	11,	
2,	8,	4,	9,	4,	4,	5,	7,	8,	5,	3,	11,	6,	8,	8,	10,	6,	8,	9,	13,	2,	15,	10,	13,	
8,	4,	4,	8,	6,	9,	7,	9,	6,	6,	7,	8,	6,	7,	9,	9,	8,	7,	11,	12,	9,	13,	14,	14,	
9,	5,	5,	4,	4,	6,	6,	5,	7,	7,	6,	7,	71.947,	7,	79.34,	10,	6,	10,	15,	6,	8,	12,	12,	10,	
7,	8,	6,	4,	5,	2,	4,	96.758,	6,	7,	7,	7,	4,	4,	6,	6,	5,	13,	10,	5,	9,	13,	14,	16,	
8,	40.389,	5,	5,	7,	5,	5,	6,	6,	6,	10,	8,	4,	7,	8,	12,	7,	8,	7,	13,	8,	13,	11,	12,	
4,	4,	5,	6,	5,	2,	7,	6,	4,	23.246,	7,	6,	5,	8,	4,	8,	7,	10,	11,	7,	7,	12,	10,	14,	
7,	5,	6,	4,	8,	5,	6,	7,	5,	5,	2,	7,	7,	8,	8,	10,	6,	11,	10,	14,	8,	13,	10,	14,	
5,	7,	5,	6,	4,	7,	4,	4,	6,	7,	9,	5,	7,	9,	7,	6,	6,	12,	14,	9,	6,	14,	15,	10,	
6,	7,	6,	7,	58.359,	6,	7,	4,	7,	4,	90.07,	7,	6,	4,	7,	9,	6,	8,	10,	9,	7,	11,	11,	11,	
4,	8,	7,	8,	8,	6,	5,	2,	2,	2,	8,	7,	5,	24.136,	8,	8,	2,	8,	7,	7,	9,	11,	8,	13,	
7,	2,	9,	6,	9,	5,	2,	67.575,	10,	9,	6,	7,	7,	2,	8,	11,	9,	5,	10,	11,	9,	13,	14,	19,	
7,	4,	2,	5,	8,	4,	8,	4,	5,	4,	10,	8,	4,	2,	8,	4,	7,	8,	14,	10,	8,	11,	12,	12,	
8,	2,	8,	6,	5,	5,	4,	7,	6,	6,	6,	5,	2,	6,	8,	11,	8.855,	7,	11,	9,	88.139,	12,	12,	14,	
4,	5,	6,	6,	8,	4,	4,	6,	6,	2,	9,	7,	4,	8,	11,	11,	8,	12,	15,	12,	6,	13,	16,	9,	
6,	7,	6,	6,	7,	8,	5,	7,	7,	2,	11,	5,	8,	7,	6,	7,	6,	6,	9,	10,	7,	13,	12,	12,	
48.96,	10,	8,	7,	8,	6,	9,	6,	5,	2,	4,	4,	8,	6,	11,	4,	4,	11,	7,	9,	6,	9,	10,	11,	
5,	5,	4,	7,	6,	45.257,	6,	9,	4,	5,	76.798,	6,	6,	6,	12,	12,	5,	10,	6,	8,	7,	12,	15,	15,	
8,	45.516,	8,	8,	6,	6,	10,	4,	6,	9,	10,	47.33,	7,	9,	8,	11,	8,	11,	3,	11,	8,	8,	13,	16,	
4,	6,	8,	7,	7,	88.949,	6,	6,	8,	7,	9,	4,	10,	8,	3,	10,	5,	9,	12,	13,	9,	9,	15,	16,	
8,	6,	7,	4,	8,	6,	6,	6,	7,	6,	6,	7,	4,	4,	9,	8,	8,	37.125,	6,	11,	6,	10,	12,	13,	
11,	6,	4,	4,	7,	4,	8,	22.333,	6,	3,	7,	7,	6,	10,	2,	8,	2,	2,	12,	12,	6,	14,	14,	11,	
5,	4,	6,	8,	5,	8,	5,	5,	6,	10,	11,	4,	8,	10,	8,	9,	9,	10,	8,	9,	12,	11,	15,	14,	
6,	5,	8,	6,	6,	6,	4,	4,	4,	6,	4,	7,	8,	6,	11,	2,	11,	10,	10,	16,	3,	11,	12,	10,	
8,	5,	5,	5,	8,	5,	7,	4,	6,	10,	5,	6,	6,	5,	7,	11,	4,	13,	4,	4,	6,	15,	4,	15,	
8,	88.121,	5,	6,	4,	8,	66.071,	4,	6,	5,	6,	9,	7,	6,	9,	9,	2,	5,	8,	10,	6,	12,	14,	11,	
