0.7	0.8	0.9	1	1.1	1.2	
0.999995	0.999999	0.9999995	1	
100000	
0.7,	0.7,	0.7,	0.7,	0.8,	0.8,	0.8,	0.8,	0.9,	0.9,	0.9,	0.9,	1,	1,	1,	1,	1.1,	1.1,	1.1,	1.1,	1.2,	1.2,	1.2,	1.2,	
0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
7,	2,	47.191,	2,	25.269,	4,	86.918,	2,	3,	2,	4,	13.432,	2,	4,	5,	90.309,	34.04,	8,	2,	5,	28.608,	8,	11,	6,	
6,	2,	4,	2,	36.102,	2,	77.048,	3,	4,	32.943,	4,	2,	2,	4,	2,	6,	15.468,	2,	4,	2,	4,	8,	5,	7,	
4,	38.842,	2,	2,	4,	77.229,	2,	2,	2,	81.092,	51.932,	2,	2,	4,	2,	2,	3,	88.585,	2,	2,	2,	6,	7,	6,	
63.666,	12.084,	2,	2,	21.151,	43.692,	4,	2,	7,	4,	4,	4,	4,	2,	4,	4,	5,	2,	2,	4,	2,	7,	5,	5,	
7,	4,	43.446,	2,	50.704,	2,	86.927,	67.28,	4,	2,	2,	2,	6,	2,	4,	4,	2,	2,	4,	5,	2,	5,	3,	9,	
6,	2,	4,	4,	4,	4,	96.633,	5,	2,	2,	2,	2,	2,	28.141,	4,	2,	4,	2,	7,	2,	4,	2,	6,	10,	
2,	2,	4,	2,	2,	2,	3,	2,	5,	87.027,	4,	4,	51.216,	2,	13.572,	4,	2,	4,	2,	74.727,	90.743,	8,	9,	8,	
6,	6,	71.783,	4,	2,	50.634,	36.92,	2,	6,	2,	2,	2,	2,	77.479,	4,	4,	2,	4,	4,	4,	2,	2,	11,	6,	
7,	5,	82.087,	4,	70.296,	18.323,	2,	2,	2,	2,	2,	4,	2,	2,	15.888,	6,	21.037,	5,	96.981,	2,	2,	7,	6,	4,	
2,	4,	4,	4,	6,	2,	2,	4,	2,	4,	2,	2,	2,	2,	4,	47.288,	49.281,	4,	47.573,	7,	2,	6,	8,	4,	
5,	4,	2,	99.815,	89.406,	4,	2,	85.29,	2,	2,	64.209,	2,	16.929,	4,	2,	6,	56.618,	2,	2,	4,	2,	4,	10,	3,	
4,	4,	44.62,	4,	2,	2,	4,	35.95,	4,	2,	2,	2,	42.525,	2,	2,	2,	4,	5,	2,	6,	3,	4,	2,	5,	
3,	2,	2,	2,	2,	2,	58.941,	2,	2,	61.639,	2,	2,	2,	2,	4,	4,	2,	2,	4,	2,	2,	6,	2,	4,	
12.767,	2,	75.704,	4,	5,	6,	2,	2,	3,	96.09,	15.999,	4,	14.294,	92.519,	4,	4.816,	84.296,	2,	7,	3,	2,	4,	8,	10,	
4,	4,	6,	63.692,	88.451,	2,	4,	4,	45.768,	4,	2,	3,	4,	2,	51.456,	2,	2,	4,	4,	2,	2,	8,	6,	5,	
68.631,	4,	2,	2,	52.767,	4,	4,	6,	4,	2,	4,	2,	30.089,	2,	2,	2,	4,	6,	8,	6,	2,	4,	4,	6,	
6,	69.176,	4,	4,	23.5,	2,	2,	2,	2,	2,	4,	2,	4,	2,	2,	50.349,	31.932,	2,	3,	9,	45.008,	8,	5,	11,	
4,	4,	2,	2,	4,	2,	4,	2,	4,	9.915,	2,	3,	2,	75.407,	52.192,	2,	2,	2,	4,	10,	4,	6,	2,	5,	
2,	4,	4,	2,	6,	2,	53.178,	2,	2,	4,	2,	2,	40.749,	2,	3,	2,	4,	4,	2,	6,	69.084,	9,	7,	6,	
2,	2,	2,	4,	4,	91.038,	17.814,	2,	4,	2,	2,	68.831,	2,	5,	4,	6,	66.499,	11,	2,	2,	4,	6,	3,	11,	
4,	2,	2,	2,	4,	2,	2,	4,	2,	71.632,	4,	2,	3,	2,	2,	4,	2,	7,	2,	2,	4,	6,	7,	4,	
2,	2,	4,	2,	41.927,	2,	67.578,	92.208,	4,	90.653,	2,	2,	2,	4,	2,	4,	4,	9,	3,	7,	48.176,	7,	2,	4,	
2,	4,	78.484,	43.263,	4,	4,	2,	2,	2,	2,	2,	5,	2,	4,	2,	4,	2,	8,	9,	4,	3,	5,	5,	6,	
7,	87.899,	2,	55.712,	4,	2,	2,	53.258,	2,	4,	4,	2,	75.924,	5,	2,	6,	84.407,	3,	4,	4,	2,	3,	4,	7,	
6,	55.68,	43.871,	2,	2,	2,	4,	2,	47.417,	2,	2,	65.864,	4,	2,	5,	5,	2,	2,	5,	2,	4,	4,	7,	10,	
2,	20.917,	2,	85.941,	2,	5,	73.272,	4,	34.788,	32.016,	2,	85.004,	2,	2,	2,	16.427,	62.785,	4,	5,	42.75,	4,	4,	8,	9,	
5,	4,	2,	2,	62.891,	2,	79.737,	4,	42.833,	2,	2,	4,	40.463,	58.239,	2,	5,	4,	6,	7,	6,	2,	4,	4,	8,	
4,	4,	5,	2,	2,	2,	4,	4,	5,	2,	65.111,	2,	4,	4,	40.408,	44.28,	78.002,	2,	8,	5,	47.041,	2,	7,	8,	
