0.7	0.8	0.9	1	1.1	1.2	
0.999995	0.999999	0.9999995	1	
100000	
0.7,	0.7,	0.7,	0.7,	0.8,	0.8,	0.8,	0.8,	0.9,	0.9,	0.9,	0.9,	1,	1,	1,	1,	1.1,	1.1,	1.1,	1.1,	1.2,	1.2,	1.2,	1.2,	
0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
11,	7,	7,	6,	50.257,	4,	6,	4,	2,	7,	6,	11,	4,	6,	9,	12,	12,	8,	9,	16,	8,	16,	15,	20,	
11,	6,	3,	7,	18.972,	4,	2,	7,	6,	6,	10,	9,	7,	9,	9,	14,	10,	13,	15,	11,	6,	15,	18,	16,	
8,	10,	11,	92.546,	5,	8,	62.297,	15,	5,	5,	9,	9,	10,	8,	2,	9,	2,	9,	14,	18,	6,	10,	10,	15,	
12,	4,	56.319,	11,	6,	4,	7,	4,	11,	2,	4,	6,	4,	9,	7,	15,	4,	15,	15,	16,	10,	17,	14,	12,	
6,	2,	10,	5,	4,	7,	9,	2,	8,	2,	9,	4,	6,	10,	10,	14,	2,	11,	9,	18,	9,	13,	9,	16,	
9,	4,	4,	6,	11,	4,	9,	4,	2,	6,	6,	7,	4,	4,	14,	8,	9,	13,	7,	10,	4,	18,	17,	20,	
3,	8,	11,	6,	7,	6,	9,	7,	3,	2,	96.314,	7,	2,	8,	13,	12,	10,	6,	12,	10,	9,	17,	12,	18,	
4,	4,	7,	9,	4,	24.579,	11,	4,	91.364,	4,	7,	13,	6,	10,	9,	12,	8,	12,	11,	12,	2,	14,	8,	19,	
8,	8,	2,	2,	7,	33.509,	2,	12,	7,	9,	7,	12,	2,	7,	13,	11,	4,	17,	14,	12,	11,	15,	6,	20,	
6,	4,	2,	10,	10,	4,	6,	9,	73.081,	5,	6,	14,	7,	7,	12,	11,	2,	12,	11,	17,	6,	12,	16,	20,	
5,	9,	7,	7,	2,	56.141,	6,	2,	6,	5,	5,	8,	7,	2,	13,	13,	7,	10,	13,	13,	3,	18,	18,	15,	
6,	4,	2,	5,	2,	9,	4,	4,	2,	6,	4,	72.657,	9,	10,	9,	4,	4,	16,	10,	13,	4,	10,	16,	19,	
7,	2,	30.184,	6,	7,	8,	7,	75.745,	7,	6,	4,	5,	5,	15,	9,	9,	9,	13,	12,	13,	9,	14,	13,	18,	
8,	6,	4,	8,	2,	6,	6,	10,	6,	43.019,	6,	7,	9,	6,	12,	12,	10,	10,	10,	17,	6,	11,	16,	19,	
11,	95.777,	4,	76.489,	8,	10,	4,	3,	2,	23.114,	7,	12,	5,	4,	9,	12,	7,	14,	15,	11,	7,	17,	13,	12,	
7,	6,	5,	11,	9,	2,	7,	7,	8,	9,	4,	42.225,	2,	12,	7,	14,	6,	16,	8,	11,	13,	17,	17,	17,	
9,	8,	2,	5,	4,	5,	2,	8,	9,	6,	8,	10,	2,	9,	6,	6,	5,	12,	10,	18,	9,	18,	17,	20,	
4,	5,	5,	9,	2,	7,	76.767,	6,	8,	9,	8,	4,	6,	9,	6,	2,	7,	7,	8,	16,	4,	15,	15,	19,	
8,	41.328,	9,	2,	4,	10,	6,	7,	2,	12,	7,	9,	2,	10,	13,	12,	7,	13,	5,	14,	11,	9,	17,	17,	
6,	2,	9,	12,	6,	4,	10,	7,	7,	11,	4,	10,	8,	11,	12,	8,	2,	12,	18,	14,	4,	13,	15,	14,	
9,	2,	9,	11,	9,	6,	2,	2,	7,	4,	8,	7,	8,	5,	7,	11,	11,	7,	13,	17,	6,	14,	12,	17,	
2,	10,	4,	8,	4,	11,	6,	6,	4,	4,	4,	9,	7,	8,	79.344,	9,	8,	14,	8,	12,	9,	18,	20,	17,	
5,	6,	4,	7,	8,	4,	2,	56.349,	6,	8,	4,	13,	9,	7,	8,	8,	9,	14,	13,	14,	2,	16,	15,	18,	
2,	2,	6,	2,	41.177,	89.748,	12,	4,	3,	8,	7,	11,	4,	8,	9,	12,	10,	10,	7,	15,	8,	6,	13,	17,	
58.775,	2,	7,	2,	6,	6,	12,	4,	7,	5,	12,	2,	4,	9,	10,	12,	4,	16,	14,	10,	11,	16,	14,	16,	
12,	4,	10,	6,	8,	10,	2,	2,	7,	72.283,	6,	10,	7,	8,	6,	12,	4,	14,	11,	18,	4,	15,	15,	19,	
4,	8,	2,	10,	6,	5,	8,	9,	6,	2,	11,	6,	7,	2,	7,	16,	9,	12,	14,	11,	10,	18,	18,	17,	
7,	5,	3,	4,	6,	7,	7,	6,	4,	5,	11,	6,	6,	10,	4,	6,	7,	9,	3,	8,	7,	6,	16,	7,	
9,	4,	8,	2,	56.675,	7,	9,	82.091,	6,	90.876,	7,	4,	5,	6,	9,	8,	2,	16,	7,	15,	8,	13,	18,	14,	
6,	7,	5,	5,	10,	10,	9,	8,	7,	2,	9,	8,	9,	8,	13,	14,	2,	13,	11,	11,	4,	16,	16,	13,	
7,	9,	9,	12,	8,	9,	2,	4,	4,	9,	4,	6,	2,	2,	10,	13,	7,	11,	10,	12,	3,	17,	17,	9,	
